gene	group1	group2	padj.edgeR	pvalue.edgeR	logFC.edgeR	padj.DESeq2	pvalue.DESeq2	logFC.DESeq2	description	SL4
Solyc11G002064	A.28.15	A.34.15	3.44e-08	6.01e-11	0.791	8.18e-07	5.61e-10	0.796	70 kDa heat shock protein (AHRD V3.3 *** Q943K7_ORYSJ) ITAG4.0:Solyc11g066060.3	Solyc11g066060.3
Solyc11G002068	A.28.15	A.34.15	1.92e-42	4.2e-46	2.216	2.21e-38	3.79e-42	2.222	Heat shock protein 70 (AHRD V3.3 *** S8C6K2_9LAMI) ITAG4.0:Solyc11g066100.2	Solyc11g066100.2
Solyc11G002443	A.28.15	A.34.15	2.81e-13	2.75e-16	2.482	6.85e-07	4.12e-10	2.503	DnaJ protein like (AHRD V3.3 *** A0A2I0X6P9_9ASPA) ITAG4.0:Solyc11g071830.2	Solyc11g071830.2
Solyc12G000755	A.28.15	A.34.15	7.45e-10	1.06e-12	1.019	1.23e-06	9.5e-10	1.025	Heat shock protein 90-1 ITAG4.0:Solyc12g015880.2	Solyc12g015880.2
PRAM_26312	A.28.30	A.34.30	5.71e-24	8.03e-27	3.075	1.12e-18	5.06e-22	3.084	LeHSP110/ClpB heat shock protein ITAG4.0:Solyc02g088610.4	Solyc02g088610.4
Solyc01G002277	A.28.30	A.34.30	1.86e-23	2.81e-26	4.29	1.12e-18	4.29e-22	4.312	NA	NA
Solyc01G002906	A.28.30	A.34.30	9.16e-27	9.91e-30	3.932	2.84e-09	4.27e-12	3.931	NA	NA
Solyc01G002914	A.28.30	A.34.30	0.00226	1.07e-05	-1.588	NA	NA	NA	NA	NA
Solyc01G003506	A.28.30	A.34.30	1.2e-15	2.6e-18	3.766	7.11e-10	9.08e-13	3.8	22.0 kDa class IV heat shock protein (AHRD V3.3 *** A0A2G3ATG3_CAPCH) ITAG4.0:Solyc01g102960.3	Solyc01g102960.3
Solyc01G003685	A.28.30	A.34.30	8.36e-10	2.53e-12	3.191	6.79e-06	1.43e-08	3.224	Multiprotein-bridging factor 1c (AHRD V3.3 *** A0A1U8F6N4_CAPAN) ITAG4.0:Solyc01g104740.3	Solyc01g104740.3
Solyc01G003823	A.28.30	A.34.30	0.00589	3e-05	0.774	NA	NA	NA	NA	NA
Solyc02G000677	A.28.30	A.34.30	0.0159	9.14e-05	1.906	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	0.0494	0.000182	4.109	DnaJ-like protein (AHRD V3.3 *** Q9SP09_TOBAC) ITAG4.0:Solyc02g077670.3	Solyc02g077670.3
Solyc02G001692	A.28.30	A.34.30	0.000138	5.97e-07	1.052	0.00146	3.85e-06	1.053	phosphosulfolactate synthase ITAG4.0:Solyc02g079930.3	Solyc02g079930.3
Solyc02G001811	A.28.30	A.34.30	2.91e-08	1.04e-10	4.04	0.0152	4.78e-05	4.206	LeftsH6FtsH protease ITAG4.0:Solyc02g081550.3	Solyc02g081550.3
Solyc02G002615	A.28.30	A.34.30	0.00302	1.47e-05	0.869	0.0346	0.000117	0.87	Heat stress transcription factor B-1 (AHRD V3.3 *** A0A2G3D8M4_CAPCH) ITAG4.0:Solyc02g090820.3	Solyc02g090820.3
Solyc03G000158	A.28.30	A.34.30	0.00657	3.48e-05	-1.64	NA	NA	NA	NA	NA
Solyc03G000301	A.28.30	A.34.30	2.28e-47	2.46e-51	4.394	8.1e-19	2.43e-22	4.394	class 2 small heat shock protein Le-HSP17.6 ITAG4.0:Solyc03g007890.3	Solyc03g007890.3
Solyc03G001667	A.28.30	A.34.30	6.63e-32	4.31e-35	6.345	3.89e-10	3.8e-13	6.504	NA	NA
Solyc03G002803	A.28.30	A.34.30	3.81e-28	3.71e-31	2.989	3.76e-09	5.93e-12	2.99	Solanum lycopersicum heat shock protein ITAG4.0:Solyc03g115230.3	Solyc03g115230.3
Solyc03G003038	A.28.30	A.34.30	7.81e-22	1.44e-24	3.853	9.73e-08	1.75e-10	3.867	Heat shock 70 kDa protein (AHRD V3.3 *** A0A1U8FVW2_CAPAN) ITAG4.0:Solyc03g117630.1	Solyc03g117630.1
Solyc03G003086	A.28.30	A.34.30	2.88e-09	9.03e-12	7.024	0.00129	3.29e-06	6.361	NFU1 iron-sulfur cluster protein (AHRD V3.3 *** AT5G07330.1) ITAG4.0:Solyc03g118060.3	Solyc03g118060.3
Solyc03G003305	A.28.30	A.34.30	7.11e-12	1.92e-14	2.065	4.57e-10	4.8e-13	2.067	Pyridoxal 5'-phosphate synthase pdxS subunit (AHRD V3.3 *** U9T0K3_RHIID) ITAG4.0:Solyc03g120090.1	Solyc03g120090.1
Solyc03G003549	A.28.30	A.34.30	3.42e-13	8.13e-16	5.232	9.05e-06	1.97e-08	5.393	17.4 kDa class III heat shock protein (AHRD V3.3 *** A0A2G3D1F4_CAPCH) ITAG4.0:Solyc03g123540.3	Solyc03g123540.3
Solyc04G000030	A.28.30	A.34.30	0.0347	0.00021	0.774	NA	NA	NA	NA	NA
Solyc04G000427	A.28.30	A.34.30	1.7e-40	3.69e-44	3.943	6.9e-37	5.19e-41	3.95	ethylene-responsive heat shock protein cognate 70 ITAG4.0:Solyc04g011440.4	Solyc04g011440.4
Solyc04G002206	A.28.30	A.34.30	2.98e-26	3.55e-29	3.871	2.04e-17	1.07e-20	3.895	ripening regulated protein DDTFR8 ITAG4.0:Solyc04g072160.3	Solyc04g072160.3
Solyc05G000281	A.28.30	A.34.30	3.07e-12	7.96e-15	3.098	5.18e-09	8.57e-12	3.112	RING/U-box superfamily protein (AHRD V3.3 *-* Q9LJE9_ARATH) ITAG4.0:Solyc05g007895.1	Solyc05g007895.1
Solyc05G002365	A.28.30	A.34.30	1.15e-08	3.74e-11	1.809	2.13e-07	3.99e-10	1.811	Dehydration-responsive element-binding protein 2A (AHRD V3.3 *** A0A1U8GX89_CAPAN) ITAG4.0:Solyc05g052410.3	Solyc05g052410.3
Solyc05G002666	A.28.30	A.34.30	0.0482	0.000297	0.534	NA	NA	NA	NA	NA
Solyc06G000727	A.28.30	A.34.30	5.95e-34	3.22e-37	3.859	4.9e-12	4.05e-15	3.865	heat shock protein 90 ITAG4.0:Solyc06g036290.3	Solyc06g036290.3
Solyc06G002092	A.28.30	A.34.30	3.77e-29	3.26e-32	3.591	8.18e-10	1.11e-12	3.59	BAG family molecular chaperone regulator 5, mitochondrial (AHRD V3.3 *-* A0A2I0XHJ2_9ASPA) ITAG4.0:Solyc06g072430.3	Solyc06g072430.3
Solyc06G002439	A.28.30	A.34.30	1.1e-13	2.51e-16	1.72	0.00108	2.68e-06	1.719	heat shock protein 70 kD ITAG4.0:Solyc06g076020.3	Solyc06g076020.3
Solyc06G002490	A.28.30	A.34.30	1.59e-12	3.95e-15	5.026	1.24e-06	2.43e-09	5.15	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR) ITAG4.0:Solyc06g076520.1	Solyc06g076520.1
Solyc06G002493	A.28.30	A.34.30	6.48e-23	1.05e-25	5.197	7.11e-10	9.05e-13	5.29	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR) ITAG4.0:Solyc06g076560.2	Solyc06g076560.2
Solyc06G002502	A.28.30	A.34.30	0.0165	9.66e-05	0.647	NA	NA	NA	NA	NA
Solyc06G002645	A.28.30	A.34.30	5.99e-08	2.2e-10	3.23	2.49e-05	5.61e-08	3.262	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G3CCB5_CAPCH) ITAG4.0:Solyc06g083190.4	Solyc06g083190.4
Solyc07G000721	A.28.30	A.34.30	0.0151	8.5e-05	-1.281	NA	NA	NA	NA	NA
Solyc07G001377	A.28.30	A.34.30	2.49e-06	1.02e-08	2.51	0.00323	8.73e-06	2.536	Harbinger transposase-derived nuclease (AHRD V3.3 *** A0A200QD47_9MAGN) ITAG4.0:Solyc07g040960.1	Solyc07g040960.1
Solyc07G002080	A.28.30	A.34.30	1.32e-07	5.15e-10	1.617	2.42e-06	4.92e-09	1.619	DnaJ like protein (AHRD V3.3 *** Q9FEW7_SOLLC) ITAG4.0:Solyc07g053615.1	Solyc07g053615.1
Solyc07G002746	A.28.30	A.34.30	0.00604	3.13e-05	0.42	0.0054	1.58e-05	0.42	molecular chaperone Hsp90-2 ITAG4.0:Solyc07g065840.2	Solyc07g065840.2
Solyc08G000196	A.28.30	A.34.30	9.39e-11	2.74e-13	2.322	2.43e-09	3.47e-12	2.326	RING/U-box superfamily protein (AHRD V3.3 *** A0A2U1LIK0_ARTAN) ITAG4.0:Solyc08g006980.3	Solyc08g006980.3
Solyc08G001086	A.28.30	A.34.30	0.0112	6.18e-05	1.26	NA	NA	NA	NA	NA
Solyc08G001249	A.28.30	A.34.30	1.14e-07	4.31e-10	3.339	8.74e-05	2.04e-07	3.383	17.9 kDa class II heat shock protein (AHRD V3.3 *** A0A2G3CY92_CAPCH) ITAG4.0:Solyc08g062437.1	Solyc08g062437.1
Solyc08G001299	A.28.30	A.34.30	9.99e-21	1.94e-23	5.385	1.14e-08	1.96e-11	5.507	Heat shock transcription factor (AHRD V3.3 *-* A0A1Y1I763_KLENI) ITAG4.0:Solyc08g062960.4	Solyc08g062960.4
Solyc08G001579	A.28.30	A.34.30	0.00589	2.94e-05	0.502	0.0286	9.23e-05	0.502	CHY-type/CTCHY-type/RING-type Zinc finger protein (AHRD V3.3 *** A0A2U1Q2D4_ARTAN) ITAG4.0:Solyc08g067960.3	Solyc08g067960.3
Solyc08G002151	A.28.30	A.34.30	4.25e-36	1.84e-39	4.615	5.34e-14	4.01e-17	4.635	mitochondrial small heat shock protein ITAG4.0:Solyc08g078700.2	Solyc08g078700.2
Solyc08G002201	A.28.30	A.34.30	0.00199	9.26e-06	0.688	0.00472	1.35e-05	0.688	Hsp70-Hsp90 organizing protein 1 (AHRD V3.3 *** A0A1U8GC69_CAPAN) ITAG4.0:Solyc08g079170.3	Solyc08g079170.3
Solyc09G000013	A.28.30	A.34.30	0.00019	8.45e-07	1.098	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	0.0494	0.000182	2.899	plant/protein (AHRD V3.3 *** AT3G10020.1) ITAG4.0:Solyc09g008970.1	Solyc09g008970.1
Solyc09G000532	A.28.30	A.34.30	2.15e-07	8.62e-10	4.102	0.0116	3.58e-05	4.245	Regulator of chromosome condensation (RCC1) family protein (AHRD V3.3 *** A0A1I9LSN5_ARATH) ITAG4.0:Solyc09g011160.4	Solyc09g011160.4
Solyc09G000744	A.28.30	A.34.30	1.19e-08	4e-11	4.441	0.00017	4.08e-07	4.561	Class I heat shock protein (AHRD V3.3 *** A0A2K3KSJ8_TRIPR) ITAG4.0:Solyc09g015020.1	Solyc09g015020.1
Solyc09G001699	A.28.30	A.34.30	0.02	0.000119	0.381	0.0289	9.57e-05	0.38	PPPDE putative thiol peptidase family protein (AHRD V3.3 *** A0A2U1N5E2_ARTAN) ITAG4.0:Solyc09g061310.3	Solyc09g061310.3
Solyc09G001963	A.28.30	A.34.30	0.00658	3.56e-05	2.117	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	0.0463	0.000164	5.587	Heat shock transcription factor (AHRD V3.3 *-* A0A1Y1I763_KLENI) ITAG4.0:Solyc09g065660.4	Solyc09g065660.4
Solyc09G002335	A.28.30	A.34.30	0.000562	2.55e-06	1.889	0.00415	1.15e-05	1.896	Heat shock protein 70 kDa (AHRD V3.3 *** A0A2K3P5L8_TRIPR) ITAG4.0:Solyc09g075950.1	Solyc09g075950.1
Solyc09G002796	A.28.30	A.34.30	7.94e-23	1.37e-25	4.266	4.39e-19	6.6e-23	4.286	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G2W2H8_CAPBA) ITAG4.0:Solyc09g092690.3	Solyc09g092690.3
Solyc10G002281	A.28.30	A.34.30	4.84e-11	1.36e-13	1.33	1.11e-10	9.97e-14	1.33	Activator of 90 kDa heat shock protein ATPase-like protein 1 (AHRD V3.3 *** A0A1J3GDI7_NOCCA) ITAG4.0:Solyc10g078930.2	Solyc10g078930.2
Solyc10G002699	A.28.30	A.34.30	1.13e-25	1.47e-28	4.136	2.31e-17	1.39e-20	4.163	Bag family molecular chaperone regulator mitochondrial-like (AHRD V3.3 *** A0A2K3P7D1_TRIPR) ITAG4.0:Solyc10g084170.1	Solyc10g084170.1
NA	NA	NA	NA	NA	NA	0.0102	3.06e-05	5.983	leer-sHSP small heat shock protein ITAG4.0:Solyc11g020330.1	Solyc11g020330.1
Solyc11G002064	A.28.30	A.34.30	1.53e-08	5.29e-11	1.289	0.046	0.000159	1.288	70 kDa heat shock protein (AHRD V3.3 *** Q943K7_ORYSJ) ITAG4.0:Solyc11g066060.3	Solyc11g066060.3
Solyc11G002068	A.28.30	A.34.30	2e-30	1.52e-33	3.041	5.4e-10	6.09e-13	3.039	Heat shock protein 70 (AHRD V3.3 *** S8C6K2_9LAMI) ITAG4.0:Solyc11g066100.2	Solyc11g066100.2
Solyc11G002443	A.28.30	A.34.30	1.07e-38	3.46e-42	4.342	2.12e-14	1.43e-17	4.344	DnaJ protein like (AHRD V3.3 *** A0A2I0X6P9_9ASPA) ITAG4.0:Solyc11g071830.2	Solyc11g071830.2
Solyc12G000488	A.28.30	A.34.30	1.8e-05	7.58e-08	3.441	NA	NA	NA	NA	NA
Solyc12G000755	A.28.30	A.34.30	4.99e-19	1.03e-21	1.796	8.1e-19	2.02e-22	1.796	Heat shock protein 90-1 ITAG4.0:Solyc12g015880.2	Solyc12g015880.2
PRAM_26312	A.28.45	A.34.45	0.000526	3.09e-06	2.907	NA	NA	NA	NA	NA
Solyc01G002277	A.28.45	A.34.45	4.8e-12	8.87e-15	4.03	3.71e-06	7.96e-09	4.034	NA	NA
Solyc01G002906	A.28.45	A.34.45	2.28e-16	1.24e-19	4.498	4.52e-09	3.23e-12	4.501	NA	NA
Solyc01G003506	A.28.45	A.34.45	1.04e-11	2.14e-14	4.324	2.21e-06	4.11e-09	4.344	22.0 kDa class IV heat shock protein (AHRD V3.3 *** A0A2G3ATG3_CAPCH) ITAG4.0:Solyc01g102960.3	Solyc01g102960.3
Solyc01G003685	A.28.45	A.34.45	4.17e-06	1.77e-08	2.745	3.47e-07	4.96e-10	2.755	Multiprotein-bridging factor 1c (AHRD V3.3 *** A0A1U8F6N4_CAPAN) ITAG4.0:Solyc01g104740.3	Solyc01g104740.3
Solyc01G003823	A.28.45	A.34.45	0.000582	3.48e-06	1.48	0.000165	4.36e-07	1.484	Heat shock protein 70 kDa (AHRD V3.3 *** A0A2K3MZA1_TRIPR) ITAG4.0:Solyc01g106210.3	Solyc01g106210.3
Solyc01G003896	A.28.45	A.34.45	1.74e-11	3.98e-14	5.524	0.000151	3.89e-07	5.604	NA	NA
NA	NA	NA	NA	NA	NA	0.00438	1.63e-05	5.994	Calcium-dependent lipid-binding (CaLB domain) family protein (AHRD V3.3 *** A0A2U1LMA8_ARTAN) ITAG4.0:Solyc02g063355.1	Solyc02g063355.1
Solyc02G001144	A.28.45	A.34.45	1.04e-09	3.18e-12	4.649	1.68e-07	2.04e-10	4.726	Transcription initiation factor TFIID subunit 8 (AHRD V3.3 *** A0A1J3F703_NOCCA) ITAG4.0:Solyc02g069170.3	Solyc02g069170.3
Solyc02G001515	A.28.45	A.34.45	1.89e-07	7.62e-10	3.827	2.68e-07	3.64e-10	3.862	DnaJ-like protein (AHRD V3.3 *** Q9SP09_TOBAC) ITAG4.0:Solyc02g077670.3	Solyc02g077670.3
Solyc02G001692	A.28.45	A.34.45	1.82e-05	8.69e-08	1.639	1e-06	1.57e-09	1.643	phosphosulfolactate synthase ITAG4.0:Solyc02g079930.3	Solyc02g079930.3
Solyc02G001811	A.28.45	A.34.45	1.58e-12	2.58e-15	5.095	1.47e-10	4.2e-14	5.162	LeftsH6FtsH protease ITAG4.0:Solyc02g081550.3	Solyc02g081550.3
Solyc02G002615	A.28.45	A.34.45	6.74e-05	3.37e-07	1.711	8.69e-06	2.05e-08	1.715	Heat stress transcription factor B-1 (AHRD V3.3 *** A0A2G3D8M4_CAPCH) ITAG4.0:Solyc02g090820.3	Solyc02g090820.3
Solyc03G000301	A.28.45	A.34.45	7.74e-14	1.01e-16	4.348	2.67e-07	3.43e-10	4.349	class 2 small heat shock protein Le-HSP17.6 ITAG4.0:Solyc03g007890.3	Solyc03g007890.3
Solyc03G000375	A.28.45	A.34.45	0.0181	0.000132	2.048	NA	NA	NA	NA	NA
Solyc03G001667	A.28.45	A.34.45	2.18e-23	2.37e-27	6.563	2.77e-10	9.89e-14	6.61	NA	NA
Solyc03G002653	A.28.45	A.34.45	3.8e-14	4.54e-17	6.901	6.53e-06	1.45e-08	7.256	22.0 kDa class IV heat shock protein (AHRD V3.3 *** A0A2G3ATG3_CAPCH) ITAG4.0:Solyc03g113930.3	Solyc03g113930.3
Solyc03G002803	A.28.45	A.34.45	1.26e-08	4.24e-11	3.142	0.000682	2.14e-06	3.142	Solanum lycopersicum heat shock protein ITAG4.0:Solyc03g115230.3	Solyc03g115230.3
Solyc03G003038	A.28.45	A.34.45	5.86e-17	2.55e-20	5.177	8.54e-10	5.49e-13	5.186	Heat shock 70 kDa protein (AHRD V3.3 *** A0A1U8FVW2_CAPAN) ITAG4.0:Solyc03g117630.1	Solyc03g117630.1
Solyc03G003086	A.28.45	A.34.45	1.13e-10	2.96e-13	5.124	1.68e-07	1.96e-10	5.23	NFU1 iron-sulfur cluster protein (AHRD V3.3 *** AT5G07330.1) ITAG4.0:Solyc03g118060.3	Solyc03g118060.3
Solyc03G003305	A.28.45	A.34.45	0.000219	1.19e-06	2.261	NA	NA	NA	NA	NA
Solyc03G003549	A.28.45	A.34.45	5.73e-12	1.12e-14	5.763	2.89e-06	5.57e-09	5.836	17.4 kDa class III heat shock protein (AHRD V3.3 *** A0A2G3D1F4_CAPCH) ITAG4.0:Solyc03g123540.3	Solyc03g123540.3
Solyc04G000030	A.28.45	A.34.45	0.000953	6.11e-06	1.133	0.00181	6.34e-06	1.135	Phosphatidylinositol 4-kinase gamma 7 (AHRD V3.3 *** A0A1U8GNT8_CAPAN) ITAG4.0:Solyc04g005270.1	Solyc04g005270.1
Solyc04G000427	A.28.45	A.34.45	1.61e-09	5.09e-12	4.064	0.000124	3.11e-07	4.065	ethylene-responsive heat shock protein cognate 70 ITAG4.0:Solyc04g011440.4	Solyc04g011440.4
Solyc04G002206	A.28.45	A.34.45	1.77e-18	3.85e-22	4.65	7.31e-10	4.18e-13	4.655	ripening regulated protein DDTFR8 ITAG4.0:Solyc04g072160.3	Solyc04g072160.3
Solyc05G000281	A.28.45	A.34.45	1.64e-07	6.43e-10	3.244	0.00156	5.23e-06	3.249	RING/U-box superfamily protein (AHRD V3.3 *-* Q9LJE9_ARATH) ITAG4.0:Solyc05g007895.1	Solyc05g007895.1
Solyc05G000306	A.28.45	A.34.45	9.38e-09	3.06e-11	5.784	0.00155	5.08e-06	6.134	DnaJ-like protein subfamily B member 6 (AHRD V3.3 *-* A0A2G3B5R9_CAPCH) ITAG4.0:Solyc05g008120.4	Solyc05g008120.4
Solyc05G000796	A.28.45	A.34.45	0.0317	0.000241	1.962	NA	NA	NA	NA	NA
Solyc05G000894	A.28.45	A.34.45	2.79e-10	7.58e-13	6.526	3.31e-06	6.62e-09	6.776	small heat shock protein 1 ITAG4.0:Solyc05g014280.4	Solyc05g014280.4
Solyc05G002030	A.28.45	A.34.45	0.00267	1.77e-05	2.19	NA	NA	NA	NA	NA
Solyc05G002365	A.28.45	A.34.45	2.12e-05	1.03e-07	1.932	3.56e-06	7.37e-09	1.936	Dehydration-responsive element-binding protein 2A (AHRD V3.3 *** A0A1U8GX89_CAPAN) ITAG4.0:Solyc05g052410.3	Solyc05g052410.3
NA	NA	NA	NA	NA	NA	0.0427	0.000187	5.671	cilia- and flagella-associated protein 298-B-like isoform X1 (AHRD V3.3 *** XP_010321365.1) ITAG4.0:Solyc05g054840.3	Solyc05g054840.3
Solyc05G002617	A.28.45	A.34.45	0.0069	4.8e-05	2.939	NA	NA	NA	NA	NA
Solyc06G000727	A.28.45	A.34.45	1.03e-07	3.93e-10	2.791	0.00235	8.41e-06	2.791	heat shock protein 90 ITAG4.0:Solyc06g036290.3	Solyc06g036290.3
NA	NA	NA	NA	NA	NA	0.000261	7.47e-07	6.866	Protein kinase-like protein (AHRD V3.3 *** Q8LCP0_ARATH) ITAG4.0:Solyc06g065750.1	Solyc06g065750.1
Solyc06G002092	A.28.45	A.34.45	1.5e-05	7.01e-08	3.165	0.0231	9.93e-05	3.164	BAG family molecular chaperone regulator 5, mitochondrial (AHRD V3.3 *-* A0A2I0XHJ2_9ASPA) ITAG4.0:Solyc06g072430.3	Solyc06g072430.3
Solyc06G002490	A.28.45	A.34.45	1.65e-11	3.58e-14	5.036	8.39e-06	1.92e-08	5.06	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR) ITAG4.0:Solyc06g076520.1	Solyc06g076520.1
Solyc06G002493	A.28.45	A.34.45	1e-14	9.8e-18	5.762	1.24e-07	1.33e-10	5.8	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR) ITAG4.0:Solyc06g076560.2	Solyc06g076560.2
Solyc06G002502	A.28.45	A.34.45	0.000775	4.89e-06	1.139	0.000264	7.74e-07	1.142	RNA-binding (RRM/RBD/RNP motifs) family protein (AHRD V3.3 *-* A0A1P8AVT0_ARATH) ITAG4.0:Solyc06g076670.3	Solyc06g076670.3
Solyc06G002645	A.28.45	A.34.45	7.09e-15	6.17e-18	4.566	2.17e-08	2.01e-11	4.59	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G3CCB5_CAPCH) ITAG4.0:Solyc06g083190.4	Solyc06g083190.4
Solyc07G000258	A.28.45	A.34.45	0.0201	0.000149	2.245	0.0494	0.000223	2.27	nucleolin isoform X1 (AHRD V3.3 *-* XP_004242730.1) ITAG4.0:Solyc07g007500.3	Solyc07g007500.3
Solyc07G001512	A.28.45	A.34.45	0.00566	3.88e-05	1.475	NA	NA	NA	NA	NA
Solyc07G001594	A.28.45	A.34.45	0.00164	1.07e-05	1.11	0.0131	5.22e-05	1.115	Rhomboid-like protein 14 (AHRD V3.3 *** A0A2K3N0Y0_TRIPR) ITAG4.0:Solyc07g042930.3	Solyc07g042930.3
Solyc07G001812	A.28.45	A.34.45	0.0167	0.00012	1.135	0.00806	3.17e-05	1.138	ubiquitin fusion degradation protein 1 (AHRD V3.3 *** A0A2I4DSF8_9ROSI) ITAG4.0:Solyc07g048120.3	Solyc07g048120.3
Solyc07G002080	A.28.45	A.34.45	0.00459	3.09e-05	1.728	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	0.00806	3.12e-05	6.168	NA	NA
Solyc07G002344	A.28.45	A.34.45	3.45e-10	9.76e-13	5.819	1.11e-06	1.82e-09	5.993	Glutathione S-transferase-like protein (AHRD V3.3 *** A0A2K3N2T5_TRIPR) ITAG4.0:Solyc07g056510.3	Solyc07g056510.3
